"soilplot","Observation_ID","phase","order","clust","element_global_id","scientificname"
"Palms.gs20180919.05","GRR.GJS.2018.29","01drained swamp",1,4,688421,"Acer (rubrum, saccharinum) - Fraxinus spp. - Ulmus americana Swamp Forest"
"Adrian.gs20180816.01","GRR.GJS.2018.3","01drained swamp",1,4,686814,"Acer saccharinum - Fraxinus pennsylvanica - Ulmus americana Floodplain Forest"
"Boots.gs20180830.03","GRR.GJS.2018.17","01drained swamp",1,4,686814,"Acer saccharinum - Fraxinus pennsylvanica - Ulmus americana Floodplain Forest"
"Henrietta.gs20180912.03","GRR.GJS.2018.21","01drained swamp",1,4,686814,"Acer saccharinum - Fraxinus pennsylvanica - Ulmus americana Floodplain Forest"
"Henrietta.gs20180912.04","GRR.GJS.2018.22","01drained swamp",1,4,686814,"Acer saccharinum - Fraxinus pennsylvanica - Ulmus americana Floodplain Forest"
"Adrian.gs20180816.02","GRR.GJS.2018.4","01drained swamp",1,4,685467,"Quercus palustris - Quercus bicolor - Acer rubrum Flatwoods Forest"
"Palms.gs20180816.03","GRR.GJS.2018.5","01drained swamp",1,4,685467,"Quercus palustris - Quercus bicolor - Acer rubrum Flatwoods Forest"
"Adrian.gs20180813.02","GRR.GJS.2018.13","02silver maple green ash swamp",2,3,688421,"Acer (rubrum, saccharinum) - Fraxinus spp. - Ulmus americana Swamp Forest"
"Aurelius.s20190820.02","GRR.GJS.2019.11","02silver maple green ash swamp",2,3,686814,"Acer saccharinum - Fraxinus pennsylvanica - Ulmus americana Floodplain Forest"
"Aurelius.s20190820.03","GRR.GJS.2019.12","02silver maple green ash swamp",2,3,686814,"Acer saccharinum - Fraxinus pennsylvanica - Ulmus americana Floodplain Forest"
"Wallkill.2016MI067008","GRR.GJS.2016.30","02silver maple green ash swamp",2,3,686814,"Acer saccharinum - Fraxinus pennsylvanica - Ulmus americana Floodplain Forest"
"Aurelius.es20170731.02","GRR.GJS.2017.8","02silver maple green ash swamp",2,3,683201,"Acer saccharinum - Ulmus americana / Onoclea sensibilis Floodplain Forest"
"Edwards.gs20180813.03","GRR.GJS.2018.14","02silver maple green ash swamp",2,3,683201,"Acer saccharinum - Ulmus americana / Onoclea sensibilis Floodplain Forest"
"Palms.2016MI067010","GRR.GJS.2016.32","02silver maple green ash swamp",2,3,683201,"Acer saccharinum - Ulmus americana / Onoclea sensibilis Floodplain Forest"
"Palms.es20170731.03","GRR.GJS.2017.9","02silver maple green ash swamp",2,3,683201,"Acer saccharinum - Ulmus americana / Onoclea sensibilis Floodplain Forest"
"Palms.es20170823.03","GRR.GJS.2017.23","02silver maple green ash swamp",2,3,683201,"Acer saccharinum - Ulmus americana / Onoclea sensibilis Floodplain Forest"
"Carlisle.W14090801","GRR.GJS.2014.39","02silver maple green ash swamp",3,7,686814,"Acer saccharinum - Fraxinus pennsylvanica - Ulmus americana Floodplain Forest"
"Thomas.s20190701.01","GRR.GJS.2019.22","02silver maple green ash swamp",3,7,686814,"Acer saccharinum - Fraxinus pennsylvanica - Ulmus americana Floodplain Forest"
